,strDrink,dateModified,idDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIBA,strIngredient1,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strInstructions,strMeasure1,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strVideo
138,Bible Belt,42971.39902,16986,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/6bec6v1503563675.jpg,Highball glass,,Southern Comfort,,,,,,,Triple sec,Lime,Sour mix,,,,,,"Mix all ingredients, and pour over ice.",2 oz ,,,,,,,0.5 oz ,2 counts ,2 oz , , , , , ,
139,Big Red,42250.15412,13222,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg,Shot glass,,Irish cream,,,,,,,Goldschlager,,,,,,,,Pour ingredients into 1 ounce shot glass,0.5 oz ,,,,,,,0.5 oz , , , , , ,,,
140,Black & Tan,42403.61825,13282,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/rwpswp1454511017.jpg,Pint glass,,Ale,,,,,,,Guinness stout,,,,,,,,Fill pint glass half full with Bass. Next pour Guiness over a spoon slowly until glass is full. If done correctly the Guiness will stay on top and the Bass on bottom hence the name Black & Tan.,1 part Bass pale ,,,,,,,1 part , , , , , ,,,
141,Black Forest Shake,42614.41788,15951,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/xxtxsu1472720505.jpg,Collins Glass,,Ice,,,,,,,Chocolate syrup,Cherry brandy,Vodka,Milk,,,,,"In a blender put ice count, chocolate syrup, cherry brandy, vodka, and milk. Blend very well."," count
",,,,,,,"
","
","
","
","
","
","
",,
142,Black Russian,42980.70473,11102,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/2k5gbb1504367689.jpg,Old-fashioned glass,Contemporary Classics,Coffee liqueur,,,,,,,Vodka,,,,,,,,Pour the ingredients into an old fashioned glass filled with ice count. Stir gently.,0.75 oz ,,,,,,,0.5 oz , , , , , ,,,
143,Black and Brown,42613.82059,16403,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/wwuvxv1472668899.jpg,Beer pilsner,,Guinness stout,,,,,,,Root beer,,,,,,,,CAREFULLY to avoid explosive head formation: Pour Beer glass half full of favorite rootbeer and top off with Guinness.,0.5,,,,,,,0.5, , , , , ,,,
144,Blackthorn,42249.70637,11106,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xvswvy1441209430.jpg,Cocktail glass,,Sweet Vermouth,,,,,,,Sloe gin,Lemon peel,,,,,,,Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,1 oz ,,,,,,,0.5 oz ,1 twist of , , , , , ,,
145,Bleeding Surgeon,42614.40183,16295,Alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/usuvvr1472719118.jpg,Collins glass,,Dark rum,,,,,,,Orange,Surge,Cranberry juice,,,,,,"Pour Shot of Rum over slice of orange. Fill the remaining space in glass half way full of surge or similar drink. Finish off glass with cranberry juice. Be carefull, warm surge may foam over the glass.",1 shot ,,,,,,,1 slice ,0.5 glass ,0.5 glass , , , , , ,
146,Blind Russian,42614.41676,14356,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/wxuqvr1472720408.jpg,Collins glass,,Bailey's irish cream,,,,,,,Godiva liqueur,Kahlua,Butterscotch schnapps,Milk,,,,,Fill glass with ice. Add all liquers. Add milk. shake.,0.75 oz ,"
",,,,,,0.75 oz ,0.75 oz ,0.5 oz ," to fill
","
","
","
","
",
147,Bloody Maria,42980.95672,11112,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yz0j6z1504389461.jpg,Old-fashioned glass,,Tequila,,,,,,,Tomato juice,Lemon juice,Tabasco sauce,Celery salt,Lemon,,,,Shake all ingredients (except lemon slice) with cracked ice and strain into an old-fashioned glass over ice count. Add the slice of lemon and serve.,1 oz , , ,,,,,2 oz ,1 dash ,1 dash ,1 dash ,1 slice , , , ,
148,Bloody Mary,42234.63141,11113,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uyquuu1439906954.jpg,Old-fashioned glass,Contemporary Classics,Vodka,,,,,,,Tomato juice,Lemon juice,Worcestershire sauce,Tabasco sauce,Lime,,,,"Stirring gently, pour all ingredients into highball glass. Garnish.",0.5 oz , , ,,,,,3 oz ,1 dash ,0.5 tsp ,2 drops ,1 count , , , ,
149,Blue Lagoon,42980.95723,11117,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vak0e51504389504.jpg,Highball glass,,Vodka,,,,,,,Blue Curacao,Lemonade,Cherry,,,,,,"Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve.",1 oz ,,,,,,,1 oz ,"fill
","1 count
","
","
","
","
","
",
150,Blue Margarita,42234.61936,11118,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qtvvyq1439905913.jpg,Cocktail glass,,Tequila,,,,,,,Blue Curacao,Lime juice,Salt,,,,,,"Rub rim of cocktail glass with lime juice. Dip rim in coarse salt. Shake tequila, blue curacao, and lime juice with ice, strain into the salt-rimmed glass, and serve.",0.5 oz ,,,,,,,1 oz ,1 oz ,fill, , , , , ,
151,Blue Mountain,42249.71126,11119,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vsxssp1441209853.jpg,Old-fashioned glass,,Anejo rum,,,,,,,Tia maria,Vodka,Orange juice,Lemon juice,,,,,"In a shaker half-filled with ice count, combine all of the ingredients. Shake well. Strain into an old-fashioned glass alomst filled with ice count.",0.5 oz , ,,,,,,0.5 oz ,0.5 oz ,1 oz ,1 tsp , , , , ,
152,Bluebird,42249.71263,11120,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vxypsq1441209971.jpg,Cocktail glass,,Gin,,,,,,,Triple sec,Blue Curacao,Bitters,Maraschino cherry,Lemon peel,,,,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",0.5 oz , , ,,,,,0.5 oz ,0.5 oz ,2 dashes ,1,1 twist of , , , ,
153,Bob Marley,42665.57713,13395,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg,Shot glass,,Midori melon liqueur,,,,,,,Jagermeister,Goldschlager,,,,,,,Layer in a 2 oz shot glass or pony glass,0.5 oz ,,,,,,,0.5 oz ,0.5 oz , , , , , ,,
154,Bobby Burns Cocktail,42749.68991,11121,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/km6se51484411608.jpg,Cocktail glass,,Sweet Vermouth,,,,,,,Scotch,Benedictine,Lemon peel,,,,,,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,0.5 oz ,,,,,,,0.5 oz ,0.25 tsp ,1 twist of , , , , , ,
155,Boomerang,42980.95778,11124,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg,Cocktail glass,,Gin,,,,,,,Dry Vermouth,Bitters,Maraschino liqueur,Maraschino cherry,,,,,"In a mixing glass half-filled with ice count, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",2 oz , ,,,,,,0.5 oz ,2 dashes ,0.5 tsp ,1, , , , ,
156,Boozy Snickers Milkshake,42985.52505,17221,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/861tzm1504784164.jpg,Mason jar,,Vanilla Ice-Cream,,,,,,,Milk,Godiva liqueur,Whipped Cream,caramel sauce,chocolate sauce,Mini-snickers bars,,,"Place the snickers bars in a plastic bag and roll over them with a rolling pin until crushed. Add crushed snickers pieces, ice cream, milk, caramel sauce, chocolate sauce, and chocolate liquor to a blender. Blend until shake is thick and frothy. Pour into glasses and top with chocolate liquor and whip cream.",3 cups ,,,,,,,1 cup ,0.5 cup ,for topping,"4 tablespoons
","4 tablespoons
","15 count
",,,
157,Bora Bora,42619.98855,12572,Non alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg,Highball glass,,Pineapple juice,,,,,,,Passion fruit juice,Lemon juice,Grenadine,,,,,,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.",10 cl ,,,,,,,6 cl ,1 cl ,1 cl , , , , , ,
158,Boston Sidecar,42980.68475,11128,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qzs5d11504365962.jpg,Cocktail glass,,Light rum,,,,,,,Brandy,Triple sec,Lime,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",0.75 oz ,,,,,,,0.75 oz ,0.75 oz ,0.5 count, , , , , ,
159,Boston Sour,42980.68634,11129,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/kxlgbi1504366100.jpg,Whiskey sour glass,,Blended whiskey,,,,,,,Lemon,Powdered sugar,Egg white,Lemon,Cherry,,,,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",2 oz , , ,,,,,0.5 count,1 tsp ,1,1 slice ,1, , , ,
160,Bourbon Sling,42980.68819,11146,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3s36ql1504366260.jpg,Highball glass,,Sugar,,,,,,,Water,Lemon juice,Bourbon,Lemon peel,,,,,"In a shaker half-filled with ice count, combine the sugar, water, lemon juice, and bourbon. Shake well. Strain well. Strain into a highball glass. Garnish with the lemon twist.",1 tsp superfine , ,,,,,,2 tsp ,1 oz ,2 oz ,1 twist of , , , , ,
161,Bourbon Sour,42980.68887,11147,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/dms3io1504366318.jpg,Whiskey sour glass,,Bourbon,,,,,,,Lemon juice,Sugar,Orange,Maraschino cherry,,,,,"In a shaker half-filled with ice count, combine the bourbon, lemon juice, and sugar. Shake well. Strain into a whiskey sour glass, garnish with the orange slice and cherry.",2 oz , ,,,,,,1 oz ,0.5 tsp superfine ,1,1, , , , ,
162,Boxcar,42980.68955,11149,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,Whiskey sour glass,,Gin,,,,,,,Triple sec,Lemon juice,Grenadine,Egg white,,,,,"In a shaker half-filled with ice count, combine all of the ingredients. Shake well. Strain into a sour glass.",0.5 oz , ,,,,,,1 oz ,1 tsp ,0.5 tsp ,1, , , , ,
163,Brain Fart,42980.95951,17120,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/rz5aun1504389701.jpg,Punch bowl,,Everclear,,,,,,,Vodka,Mountain Dew,Surge,Lemon juice,Rum,,,,Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,1 fifth , , ,,,,,1 fifth Smirnoff red label ,2 Liter ,2 Liter  ,1 small bottle ,1 pint , , , ,
164,Brainteaser,42488.7878,13405,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/ruywtq1461866066.jpg,Shot Glass,,Sambuca,,,,,,,Erin Cream,Advocaat,,,,,,,"layered erin first, then sambuca and then avocart(should sit in middle of other two. To drink: use a straw to suck up avocart then shot the rest and then suck fumes up through straw.",30 ml white ,,,,,,,30 ml ,5 ml , , , , , ,,
165,Bramble,42980.76072,17210,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/lvzl3r1504372526.jpg,Old-Fashioned glass,New Era Drinks,Gin,,,,,,,lemon juice,Sugar syrup,Creme de Mure,,,,,,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",4 cl,,,,,,,1.5 cl,1 cl,1.5 cl,, , ,,,
166,Brandon and Will's Coke Float,42614.4026,16447,Alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/xspxyr1472719185.jpg,Beer mug,,Vanilla ice-cream,,,,,,,Coca-Cola,Bourbon,,,,,,,"Scoop two large scoops of vanilla ice-cream into frosted beer mug. Next, add 2 ounces Maker's Mark. Then, pour in coke. Gently stir and enjoy.",2 scoops ,,,,,,,1 can ,2 oz , , , , , ,,
167,Brandy Alexander,42737.83965,11016,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tvqxvr1483387746.jpg,Cocktail glass,,Brandy,,,,,,,Creme de Cacao,Light cream,Nutmeg,,,,,,Shake all ingredients (except nutmeg) with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,1 oz ,,,,,,,1 oz white ,1 oz ,0.2 tsp,"
","
","
","
","
",
168,Brandy Cobbler,42229.52588,11157,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtvutr1439465836.jpg,Old-fashioned glass,,Sugar,,,,,,,Club soda,Lemon,Brandy,Maraschino cherry,Orange,,,,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the brandy. Stir well. Garnish with the cherry and the orange and lemon slices.",1 tsp superfine , , ,,,,,3 oz ,1,2 oz ,1,1, , , ,
169,Brandy Flip,42980.69052,11164,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/6ty09d1504366461.jpg,Whiskey sour glass,,Brandy,,,,,,,Egg,Sugar,Light cream,Nutmeg,,,,,"In a shaker half-filled with ice count, combine the brandy, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg.",2 oz , ,,,,,,1 whole ,1 tsp superfine ,0.5 oz ,0.125 tsp grated , , , , ,
170,Brandy Sour,42980.69144,11170,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tu0mts1504366540.jpg,Whiskey sour glass,,Brandy,,,,,,,Lemon,Powdered sugar,Lemon,Cherry,,,,,"Shake brandy, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with the lemon slice, top with the cherry, and serve.",2 oz , ,,,,,,0.5 count,0.5 tsp ,0.5 slice ,1, , , , ,
171,Brave Bull Shooter,42621.64149,13068,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/yrtypx1473344625.jpg,Shot glass,,Tequila,,,,,,,Tabasco sauce,,,,,,,,Pour Tabasco into bottom of shot glass and fill with tequila.,0.5 oz ,,,,,,,0.5 oz , , , , , ,,,
172,Bruce's Puce,42621.64072,13066,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/svsvqv1473344558.jpg,Shot glass,,Grenadine,,,,,,,Kahlua,Bailey's irish cream,,,,,,,"In a regular-sized shot glass, layer, with a spoon or cherry, the grenadine , the Kahlua , then the Bailey's Irish cream in equal portions. It goes down really smooth ,and you don't even need a chaser. It tastes just like chocolate milk.(Really!)","
",,,,,,,"
","
","
","
","
","
",,,
173,Bruised Heart,42971.4052,16998,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/7if5kq1503564209.jpg,Shot glass,,Vodka,,,,,,,Chambord raspberry liqueur,Peachtree schnapps,Cranberry juice,,,,,,"Pour all ingredients in a mixing tin over ice, stir, and strain into shot glass",0.5 oz ,,,,,,,0.5 oz ,0.5 oz ,0.5 oz , , , , , ,
174,Bubble Gum,42569.95351,14730,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/spuurv1468878783.jpg,Shot glass,,Vodka,,,,,,,Banana liqueur,Orange juice,Peach schnapps,,,,,,Layer in order into a shot glass.,0.25 count,,,,,,,0.25 count,0.25 count,0.25 count, , , , , ,
175,Buccaneer,42250.16462,17035,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg,Beer pilsner,,Corona,,,,,,,Bacardi Limon,,,,,,,,Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,1,,,,,,,1 shot , , , , , ,,,
176,Bumble Bee #1,42488.79141,14538,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/uwqpvv1461866378.jpg,Shot glass,,Bailey's irish cream,,,,,,,Kahlua,Sambuca,,,,,,,"This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!",0.33 oz ,,,,,,,0.33 oz ,0.33 oz , , , , , ,,
177,Butter Baby,42985.52041,17220,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/1xhjk91504783763.jpg,Beer mug,,Vanilla Ice-Cream,,,,,,,Butterscotch schnapps,Milk,Vodka,,,,,,Blend together in a blender. Serve in a chilled Beer mug with Fresh Blueberries and caramel for topping.,2 scoops ,,,,,,,1 part ,full glass ,2 parts ,"
","
","
",,,
178,Cafe Savoy,42250.14943,14181,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg,Coffee mug,,Coffee,,,,,,,Milk,Triple sec,Brandy,,,,,,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.","
",,,,,,,0.5 oz ,0.5 oz , , , , , ,,
179,Caipirinha,42572.40418,11202,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xyrppt1469090521.jpg,Old-fashioned glass,Contemporary Classics,Sugar,,,,,,,Lime,Cachaca,,,,,,,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaca.,2 tsp,,,,,,,1,0.5 oz , , , , , ,,
180,Caipirissima,42971.42031,13206,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yd47111503565515.jpg,Collins Glass,,Lime,,,,,,,Sugar,White rum,Ice,,,,,,Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!,2,,,,,,,2 tblsp ,2 oz ,fill, , , , , ,
181,California Lemonade,42610.78269,11205,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qvvxwy1472406424.jpg,Collins glass,,Blended whiskey,,,,,,,Lemon,Lime,Powdered sugar,Grenadine,Carbonated water,,,,Shake all ingredients (except carbonated water) with ice and strain into a collins glass over shaved ice. Fill with carbonated water and stir. Decorate with slices of orange and lemon. Add the cherry and serve with a straw.,2 oz ,"
","
",,,,,1 count,1 count,1 tblsp ,0.25 tsp ,"
","
","
","
",
182,California Root Beer,42614.40655,14282,Alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/rsxuyr1472719526.jpg,Highball glass,,Kahlua,,,,,,,Galliano,Soda water,,,,,,,Put Kahlua and Galliano in highball glass fill with soda,0.75 oz ,,,,,,,0.75 oz ,Fill with , , , , , ,,
183,Campari Beer,42250.16586,16047,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/xsqrup1441249130.jpg,Beer mug,,Lager,,,,,,,Campari,,,,,,,,Use a 15 oz glass. Add Campari first. Fill with beer.,1 bottle ,,,,,,,0.5 cl , , , , , ,,,
184,Caribbean Boilermaker,42403.62576,17065,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/svsxsv1454511666.jpg,Beer pilsner,,Corona,,,,,,,Light rum,,,,,,,,Pour the Corona into an 18oz beer glass pour the rum into the beer.,1 bottle ,,,,,,,1 shot , , , , , ,,,
185,Caribbean Orange Liqueur,42613.80521,12796,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/qwxuwy1472667570.jpg,Collins Glass,,Orange,,,,,,,Vodka,Sugar,,,,,,,"Pare very thinly the bright-colored rind from the oranges (no white). Blot the peel on paper towels to remove any excess oil. Put peel in a 4 cup screw-top jar. Add 2 cups vodka. Close jar. Store in a cool, dark place for 2 days or until the vodka has absorbed the flavor. Remove peel and add remaining vodka. Close jar and add remaining cup of vodka. Close the jar and store in a cool dark place at least 1 month to age.",3 count ,,,,,,,3 cups ,0.33 cup superfine , , , , , ,,
186,Casino,42980.48355,17185,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg,Cocktail glass,Unforgettables,Gin,,,,,,,Maraschino liqueur,Lemon juice,Orange bitters,Cherry,,,,,Pour all ingredients into shaker with ice count. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,2 oz , ,,,,,,0.25 tsp ,0.25 tsp ,2 dashes ,1, , , , ,
187,Casino Royale,42980.69328,11224,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3qpv121504366699.jpg,Whiskey sour glass,,Gin,,,,,,,Lemon juice,Maraschino liqueur,Orange bitters,Egg yolk,,,,,"In a shaker half-filled with ice count, combine all of the ingredients. Shake well. Strain into a sour glass.",2 oz , ,,,,,,0.5 oz ,1 tsp ,1 dash ,1, , , , ,
188,Castillian Hot Chocolate,42786.62958,12730,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/3nbu4a1487603196.jpg,Coffee mug,,Cocoa powder,,,,,,,Sugar,Cornstarch,Water,Milk,,,,,"Shift the cocoa and sugar together into a medium-sized saucepan. Dissolve the cornstarch in the water, and stir into the cocoa and sugar until it is a smooth paste. Begin heating the mixture, stirring it with a whisk, and gradually pour in the milk. Continue stirring with the whisk as you bring the liquid to a simmer. Allow the chocolate to simmer for about 10 minutes, stirring often, until it is thick, glossy and completely smooth. Serve steaming hot in coffee mug. Serves six.",0.5 cup , ,,,,,,1 cup ,7 tsp ,0.5 cup ,1 qt , , , , ,
189,Champagne Cocktail,42980.69457,11227,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ehh5df1504366811.jpg,Champagne flute,Contemporary Classics,Champagne,,,,,,,Sugar,Bitters,Lemon peel,Cognac,,,,,Add dash of Angostura bitter onto sugar cube and drop it into champagne flute. Add cognac followed by gently pouring chilled champagne. Garnish with orange slice and maraschino cherry.,Chilled ,,,,,,,1 piece ,2 dashes ,1 twist of ,1 dash, , , , ,
190,Cherry Electric Lemonade,42366.44847,17174,,Cocktail,http://www.thecocktaildb.com/images/media/drink/tquyyt1451299548.jpg,Pint glass,,Gin,,,,,,,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,1 oz,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,
191,Cherry Rum,42253.69935,11239,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg,Cocktail glass,,Light rum,,,,,,,Cherry brandy,Light cream,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",0.25 oz ,,,,,,,0.5 tsp ,1 tblsp , , , , , ,,
192,Chicago Fizz,42249.68707,11242,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qwvwqr1441207763.jpg,Highball glass,,Light rum,,,,,,,Port,Lemon,Powdered sugar,Egg white,Carbonated water,,,,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice count. Fill with carbonated water, stir, and serve.",1 oz ,"
","
",,,,,1 oz ,0.5 count,1 tsp ,1,"
","
","
","
",
193,Chocolate Beverage,42786.62947,12732,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/jbqrhv1487603186.jpg,Coffee mug,,Milk,,,,,,,Chocolate,Cinnamon,Egg,,,,,,"Boil milk in the top of a deep double boiler five minutes. Remove from fire and add chocolate, mixed with the cinnamon, a little at a time, beating with molinillo or egg beater after each addition. When the chocolate is thoroughly blended, heat to the boiling point. Place over bottom of double boiler and add eggs, whipping constantly, until they are thoroughly blended and the mixture is frothing. Serve in coffee mug. Serves eight.",6 cups ,,,,,,,3 oz Mexican ,1 tsp powdered ,3, , , , , ,
194,Chocolate Black Russian,42614.42221,11243,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yyvywx1472720879.jpg,Champagne flute,,Kahlua,,,,,,,Vodka,Chocolate ice-cream,,,,,,,Combine all ingredients in an electric blender and blend at a low speed for a short length of time. Pour into a chilled champagne flute and serve.,1 oz ,,,,,,,0.5 oz ,5 oz , , , , , ,,
195,Chocolate Drink,42786.6294,12734,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/q7w4xu1487603180.jpg,Coffee mug,,Chocolate,,,,,,,Milk,Water,,,,,,,"Melt the bar in a small amount of boiling water. Add milk. Cook over low heat, whipping gently (with a whisk, i would assume) until heated well. Don't let it boil! Serve in coffee mug.",125 gr,,,,,,,750 ml,,,,,,,,
196,Chocolate Milk,42986.74304,13328,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/j6q35t1504889399.jpg,Shot Glass,,Chocolate liqueur,,,,,,,Milk,Amaretto,,,,,,,"Put the milk in the bottom, pour the Liquer on top and add the dash of amaretto. Do not mix. SLAM IT!",0.5 shot ,,,,,,,0.5 shot ,1 dash , , , , , ,,
197,Chocolate Monkey,42569.91218,15615,Optional alcohol,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/tyvpxt1468875212.jpg,Parfait glass,,Banana liqueur,,,,,,,Creme de Cacao,Chocolate ice-cream,Chocolate syrup,Chocolate milk,Whipped cream,Cherry,Banana,,"blend liqeuors with ice-cream, milk and syrup. pour into parfait glass, top with whipped cream and garnish with banana and cherry.",1 shot , , , , ,,,2 shots ,2 scoops ,1 oz ,4 oz ,1,1,1 piece , ,
198,Citrus Coke,42692.53257,17135,Alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/uyrvut1479473214.jpg,Highball Glass,,Bacardi Limon,,,,,,,Coca-Cola,,,,,,,,Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!,1 part ,,,,,,,2 parts , , , , , ,,,
199,City Slicker,42980.69617,11251,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/dazdlg1504366949.jpg,Cocktail glass,,Brandy,,,,,,,Triple sec,Lemon juice,,,,,,,"In a shaker half-filled with ice count, combine all of the ingredients. Shake well. Strain into a cocktail glass.",2 oz ,,,,,,,0.5 oz ,1 tblsp , , , , , ,,
200,Classic Old-Fashioned,42980.68719,11145,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/anhof61504366173.jpg,Old-fashioned glass,,Bitters,,,,,,,Water,Sugar,Bourbon,Orange,Maraschino cherry,,,,"In an old-fashioned glass, muddle the bitters and water into the sugar cube, using the back of a teaspoon. Almost fill the glass with ice count and add the bourbon. Garnish with the orange slice and the cherry. Serve with a swizzle stick.",3 dashes , , ,,,,,1 tsp ,1,3 oz ,1,1, , , ,
201,Clove Cocktail,42488.80531,11255,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qxvtst1461867579.jpg,Cocktail glass,,Sweet Vermouth,,,,,,,Sloe gin,Wine,,,,,,,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",1 oz ,,,,,,,0.5 oz ,0.5 oz Muscatel , , , , , ,,
202,Clover Club,42980.48513,17186,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/t0aja61504348715.jpg,Cocktail glass,Unforgettables,Gin,,,,,,,Grenadine,Lemon,Egg white,,,,,,"Dry shake ingredients to emulsify, add ice, shake and served straight up.",0.5 oz ,,,,,,,2 tsp ,0.5 count,1, , , , , ,
